Country,Player Name,Date of Birth,Role,Batting Style,Bowling Style,Matches Played,Runs Scored,Wickets Taken,Catches Taken,Batting Average,Bowling Average,Strike Rate
West Indies,Shai Hope,10/11/93,Wicketkeeper-Batsman,Right-Handed,Right-Arm Medium,100,"3,500",0,45,35,-,80
West Indies,Sheldon Cottrell,19/8/89,Bowler,Left-Handed,Left-Arm Fast,85,200,130,20,2.35,1.54,100
Sri Lanka,Kusal Perera,17/8/90,Wicketkeeper-Batsman,Left-Handed,Right-Arm Medium,110,"3,000",0,35,27.27,-,85
Sri Lanka,Dimuth Karunaratne,21/4/88,Batsman,Left-Handed,Right-Arm Medium,120,"4,500",10,25,37.5,20,70
Sri Lanka,Dushmantha Chameera,11/1/92,Bowler,Right-Handed,Right-Arm Fast,95,400,90,15,4.21,4.44,70
Sri Lanka,Angelo Mathews,2/6/87,All-Rounder,Right-Handed,Right-Arm Fast-Medium,105,"3,000",70,30,28.57,33.33,85
Sri Lanka,Kusal Mendis,2/2/95,Batsman,Right-Handed,Right-Arm Medium,90,"2,500",0,20,27.78,-,70
Bangladesh,Mushfiqur Rahim,9/5/87,Wicketkeeper-Batsman,Right-Handed,Right-Arm Medium,115,"4,500",0,35,39.13,-,80
Bangladesh,Tamim Iqbal,20/3/89,Batsman,Left-Handed,Right-Arm Medium,125,"5,500",10,30,44,33,90
Bangladesh,Shakib Al Hasan,24/3/87,All-Rounder,Left-Handed,Left-Arm Spin,130,"4,000",90,25,30.77,26.67,100
Bangladesh,Mehidy Hasan,25/10/97,Bowler,Right-Handed,Off-Spin,95,"1,200",50,15,12,4,80
Bangladesh,Mohammad Saifuddin,1/12/96,All-Rounder,Right-Handed,Right-Arm Medium-Fast,90,800,40,10,16,20,110
Afghanistan,Rashid Khan,20/9/98,Bowler,Right-Handed,Leg-Spin,85,600,120,10,7.06,6.25,70
Afghanistan,Asghar Afghan,22/2/87,Batsman,Right-Handed,Right-Arm Medium,95,"2,500",10,15,26.32,16.67,80
Afghanistan,Mujeeb Ur Rahman,28/3/01,Bowler,Right-Handed,Off-Spin,80,300,90,5,3.75,6.25,75
Afghanistan,Hashmatullah Shahidi,28/11/94,Batsman,Left-Handed,Right-Arm Medium,90,"2,000",0,10,22.22,-,75
Afghanistan,Rahmanullah Gurbaz,22/6/01,Wicketkeeper-Batsman,Right-Handed,Right-Arm Medium,80,"1,500",0,5,18.75,-,90
Zimbabwe,Brendan Taylor,6/2/86,Wicketkeeper-Batsman,Right-Handed,Right-Arm Medium,95,"3,000",0,20,31.58,-,85
Zimbabwe,Sean Williams,26/9/86,All-Rounder,Left-Handed,Left-Arm Spin,90,"2,500",60,15,27.78,16.67,105
Zimbabwe,Tendai Chatara,28/2/90,Bowler,Right-Handed,Right-Arm Fast-Medium,85,600,80,10,7.06,9.38,85
Zimbabwe,Craig Ervine,19/8/85,Batsman,Left-Handed,Right-Arm Medium,80,"1,500",0,10,18.75,-,75
Zimbabwe,Wesley Madhevere,22/6/99,All-Rounder,Right-Handed,Right-Arm Medium-Fast,75,800,30,10,12.5,11.67,85
